type,country,count
Movie,"France, Luxembourg, United States",1
Movie,"France, Luxembourg, Canada",1
Movie,"France, Lebanon, United Kingdom",1
Movie,"France, Lebanon",1
Movie,"France, Japan, United States",1
Movie,"France, Japan",1
Movie,"France, Israel, Germany, United States, United Kingdom",1
Movie,"France, Iran, United States",1
Movie,"France, Germany, Switzerland",1
Movie,"France, Germany, Czech Republic, Belgium",1
Movie,"France, China, Japan, United States",1
Movie,"France, Canada, United States, Spain",1
Movie,"France, Canada, United States",1
Movie,"Bulgaria, United States, Spain, Canada",1
Movie,Bulgaria,1
Movie,"Brazil, United States",1
Movie,"Brazil, Netherlands, United States, Colombia, Austria, Germany",1
Movie,"Brazil, India, China, United States",1
Movie,"Brazil, France, Germany",1
Movie,"Belgium, United Kingdom, United States",1
Movie,"Belgium, United Kingdom",1
Movie,"Belgium, Netherlands",1
Movie,"Belgium, Ireland, Netherlands, Germany, Afghanistan",1
Movie,"Belgium, France, Netherlands",1
TV Show,"Netherlands, Germany, Italy, Canada",1
TV Show,"Mexico, United States, Spain, Colombia",1
TV Show,"Mexico, Spain",1
TV Show,"Mauritius, South Africa",1
TV Show,"Malaysia, Singapore, Hong Kong",1
TV Show,"Spain, Germany, Denmark, United States",1
TV Show,"Spain, Cuba",1
TV Show,"South Korea, France",1
TV Show,"South Korea, China",1
TV Show,"South Korea, Canada, United States, China",1
TV Show,"Singapore, United States",1
TV Show,Senegal,1
TV Show,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",1
TV Show,"Puerto Rico, United States, Colombia",1
TV Show,"Philippines, Singapore, Indonesia",1
TV Show,"Norway, United States",1
TV Show,"Norway, Sweden",1
TV Show,"Norway, Germany, Sweden",1
TV Show,"Norway, Denmark",1
Movie,"Cambodia, United States",1
Movie,Cambodia,1
Movie,"Australia, India",1
Movie,"Australia, France, Ireland",1
TV Show,"United Kingdom, Germany, United States, France",1
TV Show,"United Kingdom, Germany",1
TV Show,"United Kingdom, France, Germany, Spain",1
TV Show,"United Kingdom, France",1
TV Show,"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland",1
TV Show,"United Kingdom, China",1
TV Show,"United Kingdom, Australia",1
TV Show,United Arab Emirates,1
TV Show,"Turkey, Azerbaijan",1
TV Show,"Taiwan, Malaysia",1
TV Show,"Taiwan, China",1
TV Show,Switzerland,1
TV Show,"Spain, United Kingdom",1
TV Show,"Spain, Italy",1
Movie,"Austria, United States",1
TV Show,"United States, France, South Korea, Indonesia",1
TV Show,"United States, France, Denmark",1
TV Show,"United States, France, Canada",1
TV Show,"United States, Singapore",1
TV Show,"United States, Russia",1
TV Show,"United States, Poland",1
TV Show,"United States, New Zealand, Japan",1
TV Show,"United States, Netherlands, Japan, France",1
TV Show,"United States, Mexico, Spain, Malta",1
TV Show,"United States, Mexico, Colombia",1
TV Show,"United States, Chile",1
TV Show,"United States, Hungary, Ireland, Canada",1
Movie,"Austria, Czech Republic",1
Movie,"Australia, United Kingdom, United States, New Zealand, Italy, France",1
Movie,"Australia, United Kingdom, United Arab Emirates, Canada",1
Movie,"Argentina, Uruguay, Spain, France",1
Movie,"Argentina, Uruguay, Serbia",1
Movie,"Argentina, United States",1
TV Show,"United States, Brazil, Japan, Spain, India",1
Movie,"Argentina, Italy",1
TV Show,"United States, United Kingdom, Australia",1
Movie,", France, Algeria",1
TV Show,"United States, Sweden",1
TV Show,"United Kingdom, United States, Ireland",1
TV Show,"United Kingdom, United States, Czech Republic",1
TV Show,"United Kingdom, Spain",1
TV Show,"United Kingdom, South Africa, Australia, United States",1
TV Show,"United Kingdom, Singapore",1
TV Show,"United Kingdom, Ireland, United States",1
TV Show,"United Kingdom, Ireland",1
Movie,Belgium,1
